primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"86 kWh/m²
kilowatt hour per square meters",B,Not specified,17 kg CO₂/m²,Not specified,"€900 (+ €130)
900€ + 130€ per month",1030 — Schaerbeek,Apartment for rent,No,"1 bedroom | 60 m²
square meters",999.0,Installed,"14 m²
square meters",1.0,Gas,Unknown,5.0,4.0,"60 m²
square meters","25 m²
square meters","14 m²
square meters",No,"49 m²
square meters",Yes,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",http://www.expertissimmo.eu,5230023,Expertissimmo,As new,Yes,Yes,No,Immediately,"SCHAERBEEK (Limite Woluwe-Saint-Lambert) -- Excellente situation à proximité des transports en commun, des commerces et accès facile aux grands axes (E40). Superbe appartement 1 chambre de +/-60m2 avec jardin situé au rez-de-chaussée d'un nouvel immeuble aux excellentes performances énergétique! Il est composé comme suit: Hall d'entrée avec petite coin vestiaire et Wc séparé - Lumineux séjour de +/- 25m2 donnant accès à la terrasse et au jardin privatif orientés SUD - Belle cuisine ouverte entièrement équipée (taques, hotte, four, frigo, congélateur et lave-vaisselle) - Hall de nuit avec espace buanderie - 1 chambre à coucher de +/-14m2 - Belle salle de douche (grande douche à l'italienne) - Cave privative et emplacement de parking au sous-sol. Appartement totalement neuf, chaudière individuelle au gaz, local vélo, système vidéophone, etc. Libre immédiatement. PEB= B. Loyer: 900€ + provision de charges 130€ (charges commune et entretien du jardin). Location emplacement de parking 75€. A visiter sans tarder! VISITE VIRTUELLE: https://my.matterport.com/show/?m=ts5yjgN4XFe",All kind,1.0,Unknown,Unknown,Unknown,Unknown,2022.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,11
"438 kWh/m²
kilowatt hour per square meters",G,Not specified,115 kg CO₂/m²,Not specified,"€850 (+ €230)
850€ + 230€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 52 m²
square meters",4.0,Hyper equipped,"14 m²
square meters",1.0,Gas,Yes,4.0,2.0,"52 m²
square meters","30 m²
square meters","14 m²
square meters",No,"2 m²
square meters",Unknown,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5233522,Sorimo - Bruxelles,As new,Yes,No,No,Depending on the tenant,"En face de la maison communale de Woluwe Saint-Pierre, à côté des commerces et à 200 m du Parc de Woluwe, très bel et lumineux appartement de +/- 52 m² habitables entièrement rénové se composant d'un séjour de +/- 30 m², cuisine américaine neuve, chambre 14 m², balcon, salle de douche. Provision mensuelle de charges de 230€ (communs, chauffage, eau froide et chaude). PEB G 438kWh/m²/an. Libre le 01/02/2023.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12
Not specified,Not specified,Not specified,Not specified,Not specified,"€625 (+ €105)
625€ + 105€ per month",1070 — Anderlecht,Studio for rent,No,"40 m²
square meters",1.0,Installed,"15 m²
square meters",1.0,Gas,Yes,5.0,2.0,"40 m²
square meters","20 m²
square meters","15 m²
square meters",No,Unknown,Unknown,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241071 - ME,TREVI,Unknown,Yes,Unknown,Unknown,Unknown,"Sorry, there is no English translation. ANDERLECHT, G13 - dans la 2ème phase du projet CYAN, idéalement situé à 5 minutes à pied de la gare du Midi, dans un quartier en pleine évolution, magnifique studio neuf de ±40m². Comprenant : pièce de vie ±20m², cuisine USA équipée, sdd. Parking en option. Aspects techniques : WIFI dans tout le complexe, matériaux nobles, toitures vertes, faible consommation d'énergie - PEB : B, 27kg/(m²/an). Charges : 90€/mois (Forfait pour charges communes : 40€/mois et provisions pour le chauffage : 50€/mois. Libre le 01/11/2022. INFOS : 02 340 24 94. Visitez aussi notre page Facebook Trevi location ! Mesures donnée à titre indicatif.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2022.0,Possible No,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,13
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,325 (+ €150)
1325€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 90 m²
square meters",7.0,Hyper equipped,Unknown,2.0,Gas,Yes,8.0,4.0,"90 m²
square meters","33 m²
square meters",Unknown,No,"10 m²
square meters",Unknown,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241070 - 111115511,TREVI,As new,Yes,Unknown,Unknown,Immediately,"BRUSSELS, on the exceptional site ""UPSITE"", in front of Tour & Taxis and close to the North Station, magnificent apartment of ±90m² living space located on the 7th floor in the apartments / villas. It is composed of: entrance hall, living room of ±33,5m² with terrace of ±10m², full equipped kitchen Siemens, 2 bedrooms, bathroom, cellar. Parking place at 100€/month. Provision for charges: €/month (hot water, heating, common). Available immediately. PEB: C*. Measurements given as an indication.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14
"832 kWh/m²
kilowatt hour per square meters",G,Not specified,Not specified,Not specified,"€1,100/month
1100€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 75 m²
square meters",8.0,Unknown,"14 m²
square meters",1.0,Gas,Yes,8.0,2.0,"75 m²
square meters","30 m²
square meters","14 m²
square meters",No,"20 m²
square meters",Unknown,"Edingsesteenweg 341
1755 - Kester",http://www.c21atg.be,3992 - 666555908,CENTURY 21 ATG,Just renovated,Yes,Unknown,Unknown,Immediately,"Penthouse © Bois de la Cambre © 2 terraces Ideally located next to one of the most beautiful PARKS in BRUSSELS, you will find this MAGNIFIC 1 bedroom penthouse, on the 8th floor, completely renovated with high quality materials. It offers 2 magnificent TERRASSES with an incredible VIEW of the city of Brussels and the TERKAMERENBOS. Through the large windows that give immediate access to the terraces you get a lot of light. It is composed as follows: Entrance hall with marble floor with a built-in wardrobe and cupboards, a guest toilet with space for washing machine, spacious living room of ± 30 m² with parquet floor and direct access to the terrace, a separate fitted kitchen with SMEG gas stove, access to the quiet south terrace nighthall, a bedroom with fitted wardrobes and a bathroom. There are no direct neighbors, underfloor heating, electricity is compliant, reinforced door, videophone, double glazing, fireplace, elevator, bike storage. Monthly charges: provision of 250 for heating and common charges For a visit contact us: info@c21 or 02 513 13 13",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15
"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,Not specified,"€1,250/month
1250€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 90 m²
square meters",6.0,Hyper equipped,Unknown,1.0,Unknown,Yes,7.0,Unknown,"90 m²
square meters","< than 90 m²
square meters",Unknown,No,Unknown,Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,241068 -,Trevi Gestea,As new,Yes,Unknown,Unknown,Unknown,"Close to the European Institutions, the Maelbeek metro station and Schuman station in a magnificent listed building, Gestea offers you a beautiful 1 bedroom flat. Entrance hall with access to the living/dining room with open plan fitted kitchen, 2 bedrooms and bathroom with WC. Shared laundry room in the basement. Charming building, unique in the area. Transport, parks and shops nearby. -- Rent: 1250€ + monthly provision of charges of 200€ (including provision of common charges, heating and water as well as home insurance) Possibility of parking for 150€/month. -- Info and visits : Antoine - adejamblinne@trevi.be - 0478 65 26 40",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16
"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,Not specified,"€980/month
980€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 70 m²
square meters",1.0,Not installed,Unknown,1.0,Unknown,Unknown,7.0,Unknown,"70 m²
square meters","< than 70 m²
square meters",Unknown,No,Unknown,Unknown,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,241066 - 3789243,Trevi Gestea,As new,Unknown,Unknown,Unknown,Unknown,"Close to the European Institutions, the Maelbeek metro station and Schuman station in a magnificent listed building, Gestea offers you a beautiful 1 bedroom flat. Entrance hall with access to the living/dining room with open plan fitted kitchen, 1 bedroom and bathroom with WC. Shared laundry room in the basement. Charming building, unique in the area. Transport, parks and shops nearby. -- Rent: 980€ + monthly provision of charges of 150€ (including provision of common charges, heating and water as well as home insurance) Possibility of parking for 150€/month. -- Info and visits : Antoine - adejamblinne@trevi.be - 0478 65 26 40",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,450 (+ €120)
1450€ + 120€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 122 m²
square meters",3.0,USA hyper equipped,"19 m²
square meters",2.0,Gas,Yes,4.0,Unknown,"122 m²
square meters","52 m²
square meters","19 m²
square meters",Unknown,"10 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,As new,Yes,No,No,Unknown,No description,All kind,-1.0,"13 m²
square meters",Unknown,Unknown,Unknown,2017.0,Possible No,Yes,Yes,No,No,No,No,Yes,Unknown,Unknown,18
Not specified,Not specified,20221215-­0000628793-­01-­5,Not specified,Not specified,"€950/month
950€ per month",1190 — Forest,Studio for rent,No,"1 bedroom | 45 m²
square meters",3.0,Installed,"20 m²
square meters",1.0,Gas,Yes,3.0,2.0,"45 m²
square meters","< than 45 m²
square meters","20 m²
square meters",Yes,"8 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,No,No,No,Immediately,"Bright flat, fully furnished and equipped flat, 40m² terrasse of 10 m² looking West with great 180° view on Brussels, for 1 person in Forest (Parcs de Forest/Duden), close to St-Gilles and Midi station (Eurostar/Thalys). Fully equipped kitchen, fully furnished bed room, dimmable lighting, curtains, acoustic double glazing, cleaning and ironing gear, shower in mortex, new laundry machine and extra space in the basement.
Rent: 950€/month. Provision for charges: 150€/month (water, gaz, electricity). No extra common charges. For viewings, call M. Noble on +32476638283
--- NO AGENCIES ---",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,Yes,No,No,No,No,Yes,Landscape,Unknown,19
Not specified,Not specified,20221215-­0000628792-­01-­7,Not specified,Not specified,"€1,950/month
1950€ per month",1190 — Forest,Penthouse for rent,No,"2 bedrooms | 110 m²
square meters",3.0,Hyper equipped,"16 m²
square meters",1.0,Gas,Yes,3.0,2.0,"110 m²
square meters","15 m²
square meters","16 m²
square meters",Yes,"40 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,No,No,No,Immediately,"Brand new Duplex-Penthouse with 2 terrasses in Forest (Parcs de Forest/Duden) of 110 m². 3rd floor: (fully renovated): hall wc cloakroom of 8m², 2 bedrooms of 10 et 17 m² with new carpet, balcony, bathroom of 10m² made in mortex with bathtub and independent shower. 4th floor (new construction): living room, kitchen and dining room of 50 m² with fireplace, sliding doors on both sides, terrasses of 6m² on one side and 27m² on the other side 10m² of vegetal roof, looking West with 180° view on Brussels and on parcs. Close to St-Gilles and Midi Station (Thalys/Eurostar).",Apartment building,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2015.0,Possible No,Yes,Yes,No,No,No,No,Yes,Landscape,Unknown,20
Not specified,Not specified,Not specified,Not specified,Not specified,"€750/month
750€ per month",1190 — Forest,Apartment for rent,No,"1 bedroom | 54 m²
square meters",2.0,Installed,"14 m²
square meters",1.0,Gas,Yes,3.0,2.0,"54 m²
square meters","15 m²
square meters","14 m²
square meters",Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,As new,No,No,No,Immediately,No description,Apartment building,-1.0,Unknown,Unknown,Unknown,Unknown,2009.0,Possible No,Yes,No,No,No,No,No,No,Unknown,Unknown,21
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,250 (+ €300)
1250€ + 300€ per month",1200 — Woluwe-Saint-Lambert,Duplex for rent,No,"2 bedrooms | 120 m²
square meters",2.0,Installed,Unknown,2.0,Gas,No,2.0,1.0,"120 m²
square meters","20 m²
square meters",Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Good,No,No,No,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,Yes,Yes,No,No,No,No,Yes,Unknown,Unknown,22
Not specified,Not specified,Not specified,Not specified,Not specified,"€3,300/month
3300€ per month",1170 — Watermael-Boitsfort,Exceptional property for rent,No,"3 bedrooms | 160 m²
square meters",999.0,USA hyper equipped,"16 m²
square meters",3.0,Gas,Unknown,999.0,3.0,"160 m²
square meters","22 m²
square meters","16 m²
square meters",No,"6 m²
square meters",Yes,"Square Marie Louise 13/5
1000 - Bruxelles",http://www.square-properties.be,5222329,Square Properties,Just renovated,No,No,Unknown,Immediately,"À proximité de la maison communale, première occupation après rénovation d’une superbe maison 3 façades des années ’30 de près de 160m² avec cave et jardin. La maison se compose au rez-de-chaussée d’un spacieux hall d’entrée avec vestiaire et toilette invités, d’un salon de plus de 22m², d’une salle à manger de 25m² avec cuisine ouverte entièrement équipée permettant également d’accéder au jardin. Au 1ier et 2ième étages se trouvent la chambre principale de 16m² avec salle de bains privative, deux chambres de +/-13m² dont une avec espace rangement et mezzanine et l’autre avec petite terrasse orientée est, une salle de bains, un bureau de 8m² et un espace bureau. En sous-sol se trouve une cave à vin, la buanderie et un espace de rangement. PEB : D. Pour infos et visites : +32476707379 ou axel@square-properties.be",All kind,-1.0,"12 m²
square meters","12 m²
square meters",Unknown,Unknown,1932.0,Possible No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Countryside,Yes,23
"165 kWh/m²
kilowatt hour per square meters",D,20141022-0000254621-01-3,35 kg CO₂/m²,Not specified,"€1,200 (+ €50)
1200€ + 50€ per month",Ask for the exact address,Penthouse for rent,No,"1 bedroom | 52 m²
square meters",4.0,Installed,"11 m²
square meters",1.0,Gas,Yes,4.0,4.0,"52 m²
square meters","22 m²
square meters","11 m²
square meters",No,"53 m²
square meters",Unknown,"Av. Aviateur de Caters 4
1310 - LA HULPE",Unknown,341 - 1386,JT Properties.,As new,Yes,Unknown,Unknown,Unknown,"Superb and very bright Penthouse of +/-50m2 on the 4th floor of a small building surrounded on all four sides by 59m2 of terraces. Unbeatable view on Brussels. 1 bedroom with double bed and cupboards, bathroom with washing machine, super equipped kitchen, private elevator, alarm, double glazing, air conditioning, cellar. Superbly located near Delta, the ring and the shops.PEB D. TO SEIZE! Available early March.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1988.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,24
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,400/month
1400€ per month",1060 — Saint-Gilles,Ground floor for rent,No,"1 bedroom | 80 m²
square meters",999.0,Installed,Unknown,1.0,Gas,No,3.0,2.0,"80 m²
square meters","< than 80 m²
square meters",Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No description,Apartment building,-1.0,Unknown,Unknown,Unknown,Unknown,1900.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,25
Not specified,Not specified,Not specified,Not specified,Not specified,"€975 (+ €65)
975€ + 65€ per month",1200 — Woluwe-Saint-Lambert,Apartment for rent,No,"1 bedroom | 67 m²
square meters",2.0,Installed,Unknown,1.0,Unknown,No,2.0,2.0,"67 m²
square meters","< than 67 m²
square meters",Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Just renovated,No,No,No,To be defined,No description,Apartment building,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Unknown,Unknown,26
